Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2016SM25	33
Total Nacional	34 Palencia	Dato base	2016SM24	36
Total Nacional	34 Palencia	Dato base	2016SM23	38
Total Nacional	34 Palencia	Dato base	2016SM22	48
Total Nacional	34 Palencia	Dato base	2016SM21	39
Total Nacional	34 Palencia	Dato base	2016SM20	37
Total Nacional	34 Palencia	Dato base	2016SM19	37
Total Nacional	34 Palencia	Dato base	2016SM18	45
Total Nacional	34 Palencia	Dato base	2016SM17	35
Total Nacional	34 Palencia	Dato base	2016SM16	43
Total Nacional	34 Palencia	Dato base	2016SM15	41
Total Nacional	34 Palencia	Dato base	2016SM14	36
Total Nacional	34 Palencia	Dato base	2016SM13	36
Total Nacional	34 Palencia	Dato base	2016SM12	48
Total Nacional	34 Palencia	Dato base	2016SM11	36
Total Nacional	34 Palencia	Dato base	2016SM10	39
Total Nacional	34 Palencia	Dato base	2016SM09	37
Total Nacional	34 Palencia	Dato base	2016SM08	51
Total Nacional	34 Palencia	Dato base	2016SM07	54
Total Nacional	34 Palencia	Dato base	2016SM06	44
Total Nacional	34 Palencia	Dato base	2016SM05	49
Total Nacional	34 Palencia	Dato base	2016SM04	41
Total Nacional	34 Palencia	Dato base	2016SM03	44
Total Nacional	34 Palencia	Dato base	2016SM02	57
Total Nacional	34 Palencia	Dato base	2016SM01	47
Total Nacional	34 Palencia	Dato base	2015SM53	25
Total Nacional	34 Palencia	Dato base	2015SM52	38
Total Nacional	34 Palencia	Dato base	2015SM51	31
Total Nacional	34 Palencia	Dato base	2015SM50	40
Total Nacional	34 Palencia	Dato base	2015SM49	27
Total Nacional	34 Palencia	Dato base	2015SM48	44
Total Nacional	34 Palencia	Dato base	2015SM47	36
Total Nacional	34 Palencia	Dato base	2015SM46	35
Total Nacional	34 Palencia	Dato base	2015SM45	25
Total Nacional	34 Palencia	Dato base	2015SM44	45
Total Nacional	34 Palencia	Dato base	2015SM43	37
Total Nacional	34 Palencia	Dato base	2015SM42	29
Total Nacional	34 Palencia	Dato base	2015SM41	44
Total Nacional	34 Palencia	Dato base	2015SM40	39
Total Nacional	34 Palencia	Dato base	2015SM39	28
Total Nacional	34 Palencia	Dato base	2015SM38	39
Total Nacional	34 Palencia	Dato base	2015SM37	28
Total Nacional	34 Palencia	Dato base	2015SM36	42
Total Nacional	34 Palencia	Dato base	2015SM35	20
Total Nacional	34 Palencia	Dato base	2015SM34	35
Total Nacional	34 Palencia	Dato base	2015SM33	32
Total Nacional	34 Palencia	Dato base	2015SM32	29
Total Nacional	34 Palencia	Dato base	2015SM31	36
Total Nacional	34 Palencia	Dato base	2015SM30	44
Total Nacional	34 Palencia	Dato base	2015SM29	48
Total Nacional	34 Palencia	Dato base	2015SM28	38
Total Nacional	34 Palencia	Dato base	2015SM27	56
Total Nacional	34 Palencia	Dato base	2015SM26	37
Total Nacional	34 Palencia	Dato base	2015SM25	40
Total Nacional	34 Palencia	Dato base	2015SM24	33
Total Nacional	34 Palencia	Dato base	2015SM23	53
Total Nacional	34 Palencia	Dato base	2015SM22	29
Total Nacional	34 Palencia	Dato base	2015SM21	33
Total Nacional	34 Palencia	Dato base	2015SM20	44
Total Nacional	34 Palencia	Dato base	2015SM19	34
Total Nacional	34 Palencia	Dato base	2015SM18	37
Total Nacional	34 Palencia	Dato base	2015SM17	44
Total Nacional	34 Palencia	Dato base	2015SM16	37
Total Nacional	34 Palencia	Dato base	2015SM15	41
Total Nacional	34 Palencia	Dato base	2015SM14	53
Total Nacional	34 Palencia	Dato base	2015SM13	46
Total Nacional	34 Palencia	Dato base	2015SM12	42
Total Nacional	34 Palencia	Dato base	2015SM11	39
Total Nacional	34 Palencia	Dato base	2015SM10	70
Total Nacional	34 Palencia	Dato base	2015SM09	52
Total Nacional	34 Palencia	Dato base	2015SM08	42
Total Nacional	34 Palencia	Dato base	2015SM07	58
Total Nacional	34 Palencia	Dato base	2015SM06	63
Total Nacional	34 Palencia	Dato base	2015SM05	59
Total Nacional	34 Palencia	Dato base	2015SM04	68
Total Nacional	34 Palencia	Dato base	2015SM03	49
Total Nacional	34 Palencia	Dato base	2015SM02	62
Total Nacional	34 Palencia	Dato base	2015SM01	46
Total Nacional	34 Palencia	Dato base	2014SM52	36
Total Nacional	34 Palencia	Dato base	2014SM51	28
Total Nacional	34 Palencia	Dato base	2014SM50	48
Total Nacional	34 Palencia	Dato base	2014SM49	38
Total Nacional	34 Palencia	Dato base	2014SM48	49
Total Nacional	34 Palencia	Dato base	2014SM47	49
Total Nacional	34 Palencia	Dato base	2014SM46	41
Total Nacional	34 Palencia	Dato base	2014SM45	28
Total Nacional	34 Palencia	Dato base	2014SM44	44
Total Nacional	34 Palencia	Dato base	2014SM43	42
Total Nacional	34 Palencia	Dato base	2014SM42	39
Total Nacional	34 Palencia	Dato base	2014SM41	30
Total Nacional	34 Palencia	Dato base	2014SM40	46
Total Nacional	34 Palencia	Dato base	2014SM39	42
Total Nacional	34 Palencia	Dato base	2014SM38	35
Total Nacional	34 Palencia	Dato base	2014SM37	43
Total Nacional	34 Palencia	Dato base	2014SM36	43
Total Nacional	34 Palencia	Dato base	2014SM35	32
Total Nacional	34 Palencia	Dato base	2014SM34	31
Total Nacional	34 Palencia	Dato base	2014SM33	49
Total Nacional	34 Palencia	Dato base	2014SM32	38
Total Nacional	34 Palencia	Dato base	2014SM31	50
Total Nacional	34 Palencia	Dato base	2014SM30	45
Total Nacional	34 Palencia	Dato base	2014SM29	45
Total Nacional	34 Palencia	Dato base	2014SM28	35
Total Nacional	34 Palencia	Dato base	2014SM27	39
Total Nacional	34 Palencia	Dato base	2014SM26	49
